"feat","avg(empathy.empathy)","avg(empathy.distress)","avg(empathy.empathy_bin)","avg(empathy.distress_bin)"
"chunky","2.6670000","6.2500000","0.0000","1.0000"
"church","3.6000000","4.0000000","0.2000","0.6000"
"churches","6.6670000","6.1250000","1.0000","1.0000"
"churchgoer","7.0000000","7.0000000","1.0000","1.0000"
"churchgoers","4.5000000","4.6250000","1.0000","1.0000"
"churn","5.5000000","6.7500000","1.0000","1.0000"
"chute","4.6670000","5.7500000","1.0000","1.0000"
"cia","2.3330000","2.3750000","0.0000","0.0000"
"cigar","5.3330000","5.5000000","1.0000","1.0000"
"cigarette","4.1665000","4.0000000","0.5000","0.5000"
"cigarettes","3.2220000","2.9583333","0.3333","0.3333"
"cigerattes","3.3330000","5.8750000","0.0000","1.0000"
"cincinnati","5.5000000","4.7500000","1.0000","1.0000"
"circles","3.5000000","1.1250000","0.0000","0.0000"
"circulation","4.0000000","4.0000000","1.0000","1.0000"
"circumstances","5.6250000","4.0937500","0.8750","0.2500"
"circumstantial","4.3330000","4.6250000","1.0000","1.0000"
"circus","5.6665000","5.8125000","1.0000","1.0000"
"circuses","5.6670000","4.2500000","1.0000","1.0000"
"cited","4.9170000","4.1875000","1.0000","1.0000"
"cites","7.0000000","1.1250000","1.0000","0.0000"
"cities","5.0000000","4.6388889","0.7778","0.7778"
"citizen","1.8888333","2.2291667","0.1667","0.1667"
"citizen's","5.5000000","5.8750000","1.0000","1.0000"
"citizens","3.2603750","3.7148438","0.4063","0.5625"
"citizenship","4.0553333","2.1666667","0.6667","0.0000"
"city","4.2150645","4.4758065","0.5806","0.6774"
"city-center","5.5000000","6.5000000","1.0000","1.0000"
"civil","4.2778333","2.7083333","0.5000","0.3333"
"civilian","4.3518889","4.6944444","0.7778","0.7778"
"civilians","4.4813889","4.8958333","0.6667","0.7222"
"civility","3.1670000","5.2500000","0.0000","1.0000"
"civilization","2.5000000","2.8125000","0.5000","0.0000"
"civilized","3.4446667","4.0416667","0.3333","0.3333"
"civillians","1.0000000","1.0000000","0.0000","0.0000"
"cj","4.1670000","4.1250000","1.0000","1.0000"
"claim","3.5715714","4.5892857","0.2857","0.7143"
"claimed","3.8666000","3.7250000","0.2000","0.4000"
"claiming","2.3890000","4.6666667","0.3333","0.6667"
"claims","2.9860000","3.1250000","0.2500","0.3333"
"clamping","7.0000000","7.0000000","1.0000","1.0000"
"clans","3.1670000","5.1250000","0.0000","1.0000"
"clashes","4.0000000","5.1250000","1.0000","1.0000"
"class","2.5833750","2.5781250","0.3750","0.2500"
"classes","1.5000000","1.0000000","0.0000","0.0000"
"classic","2.5000000","1.2500000","0.0000","0.0000"
"classified","3.7334000","3.3000000","0.6000","0.6000"
"classify","1.0835000","3.5625000","0.0000","0.5000"
"classroom","1.5000000","1.7500000","0.0000","0.0000"
"classrooms","1.5000000","1.7500000","0.0000","0.0000"
"claw","3.6670000","1.3750000","0.0000","0.0000"
"clean","4.8431765","4.7132353","0.7647","0.7059"
"cleaner","3.5830000","4.6875000","0.5000","1.0000"
"cleaning","4.1665000","3.1875000","0.5000","0.5000"
"cleanse","4.0000000","1.0000000","1.0000","0.0000"
"cleansing","5.3335000","3.5625000","1.0000","0.5000"
"clear","4.4110667","4.2916667","0.6667","0.4667"
"clear-cut","4.0000000","6.3750000","1.0000","1.0000"
"cleared","5.6670000","4.0000000","1.0000","1.0000"
"clearing","5.6670000","4.0000000","1.0000","1.0000"
"clearly","3.6167000","2.9000000","0.4500","0.3000"
"cleveland","6.3330000","5.2500000","1.0000","1.0000"
"clever","2.3330000","4.7500000","0.0000","1.0000"
"clients","2.0000000","2.5000000","0.0000","0.0000"
"cliff","5.1665000","4.6250000","0.5000","1.0000"
"climate","3.3194500","3.7041667","0.4500","0.5333"
"climates","1.1670000","1.0000000","0.0000","0.0000"
"climb","4.5415000","4.4062500","0.7500","0.7500"
"climbed","3.3330000","3.0625000","0.5000","0.5000"
"climber","5.1665000","2.6250000","1.0000","0.5000"
"climbing","4.1670000","3.8750000","1.0000","0.0000"
"clinic","5.7500000","5.5000000","1.0000","1.0000"
"clinics","3.5000000","3.7500000","0.0000","0.0000"
"clinton","4.5416667","4.0104167","0.7500","0.5000"
"clintons","3.0000000","1.0000000","0.5000","0.0000"
"clip","5.5000000","5.8750000","1.0000","1.0000"
"cliques","1.5000000","1.0000000","0.0000","0.0000"
"cloak","6.1670000","5.5000000","1.0000","1.0000"
"close","4.3402917","3.6927083","0.7083","0.4583"
"closed","4.4167500","5.9062500","0.7500","1.0000"
"closely","1.0000000","2.3750000","0.0000","0.0000"
"closer","4.7917500","3.0000000","0.7500","0.2500"
"closest","6.0000000","7.0000000","1.0000","1.0000"
"closet","1.5835000","7.0000000","0.0000","1.0000"
"closeted","2.1670000","7.0000000","0.0000","1.0000"
"closets","5.0000000","6.2500000","1.0000","1.0000"
"closing","4.1670000","5.2500000","1.0000","1.0000"
"closure","4.2666000","4.6000000","0.6000","0.6000"
"clothes","4.5998000","4.2750000","0.8000","0.6000"
"clothing","2.1665000","3.4375000","0.0000","0.5000"
"clouds","5.0000000","5.6250000","1.0000","1.0000"
"clover","3.3330000","2.0000000","0.0000","0.0000"
"clown","2.6670000","3.1875000","0.0000","0.5000"
"club","2.6667500","2.6875000","0.5000","0.2500"
"clue","1.8330000","2.2500000","0.0000","0.0000"
"clueless","6.0000000","1.5000000","1.0000","0.0000"
"clues","3.5000000","4.3750000","0.0000","1.0000"
"clutch","3.5000000","3.2500000","0.0000","0.0000"
"clutching","3.4170000","4.0625000","0.0000","1.0000"
"cmv","6.0000000","4.8750000","1.0000","1.0000"
"cnn","2.8335000","3.3125000","0.5000","0.5000"
"co","3.6110000","3.6250000","0.3333","0.3333"
"co-founder","4.5000000","4.0000000","1.0000","1.0000"
"co-workers","1.0000000","6.0000000","0.0000","1.0000"
"co2","4.8335000","3.5000000","0.5000","0.5000"
"coach","1.0000000","1.0000000","0.0000","0.0000"
"coal","4.6667500","4.8437500","0.7500","0.7500"
"coalition","5.0832500","4.7187500","1.0000","0.7500"
"coast","4.2666000","4.4000000","0.6000","0.8000"
"coastal","4.3330000","3.7500000","1.0000","0.0000"
"coaster","1.0000000","2.7500000","0.0000","0.0000"
"coat","3.8330000","1.3750000","0.0000","0.0000"
"coco","4.6670000","4.6250000","1.0000","1.0000"
"coconut","4.1334000","3.0750000","0.6000","0.2000"
"coconuts","3.9167500","2.8750000","0.5000","0.2500"
"cocunut","1.0000000","2.2500000","0.0000","0.0000"
"cocunuts","1.0000000","2.2500000","0.0000","0.0000"
"coddle","1.0000000","1.6250000","0.0000","0.0000"
"codes","3.8330000","5.8750000","0.0000","1.0000"
"coerced","4.5000000","3.8750000","1.0000","0.0000"
"coffee","3.3888889","3.8611111","0.2222","0.5556"
"cogent","3.0000000","2.1250000","0.0000","0.0000"
"cognizant","3.8330000","1.3750000","0.0000","0.0000"
"cohan","7.0000000","2.5000000","1.0000","0.0000"
"cohen","4.6945000","2.4791667","0.8333","0.1667"
"coin","1.0000000","1.0000000","0.0000","0.0000"
"colatina","5.3890000","4.9583333","1.0000","1.0000"
"cold","3.6427143","3.5357143","0.4286","0.4286"
"collaborate","2.0000000","3.3750000","0.0000","0.0000"
"collaborated","7.0000000","1.0000000","1.0000","0.0000"
"collaboratively","1.5000000","1.2500000","0.0000","0.0000"
"collapse","4.8330000","5.8750000","1.0000","1.0000"
"collapsed","6.3335000","3.0000000","1.0000","0.5000"
"collar","1.0000000","1.1250000","0.0000","0.0000"
"collating","3.5000000","3.0000000","0.0000","0.0000"
"colleagues","4.8335000","4.5000000","1.0000","0.5000"
"collected","6.0000000","6.0000000","1.0000","1.0000"
"collecting","3.1670000","3.7500000","0.0000","0.0000"
"collection","3.1670000","3.7500000","0.0000","0.0000"
"collections","4.0000000","4.6250000","1.0000","1.0000"
"collective","5.7500000","6.0625000","1.0000","1.0000"
"college","2.3333333","3.2222222","0.1111","0.3333"
"collided","2.6670000","6.2500000","0.0000","1.0000"
"collins","4.0000000","2.7500000","1.0000","0.0000"
"collision","3.7500000","5.3125000","0.5000","1.0000"
"colloquially","3.5000000","3.5000000","0.0000","0.0000"
"colon","4.0556667","2.1250000","0.6667","0.3333"
"colonialism","1.0000000","1.0000000","0.0000","0.0000"
"colonialists","5.3330000","5.8750000","1.0000","1.0000"
"colonization","3.0000000","1.5000000","0.0000","0.0000"
"colonoscopy","4.3335000","1.0625000","1.0000","0.0000"
"color","4.7223333","5.0000000","0.6667","0.6667"
"colors","1.0000000","6.2500000","0.0000","1.0000"
"columbia","4.8330000","3.3750000","1.0000","0.0000"
"column","5.8330000","5.3750000","1.0000","1.0000"
"coma","1.0000000","5.1250000","0.0000","1.0000"
"combat","3.5420000","4.7812500","0.5000","0.7500"
"combating","3.1250000","3.2500000","0.5000","0.2500"
"combination","2.8330000","5.3750000","0.0000","1.0000"
"combined","5.5000000","5.6250000","1.0000","1.0000"
"come","3.9617982","3.6674312","0.5321","0.4495"
"comedian","3.3330000","2.0000000","0.0000","0.0000"
"comedians","3.2915000","2.0312500","0.2500","0.2500"
"comedic","3.3330000","2.0000000","0.0000","0.0000"
"comedy","6.0000000","2.5625000","1.0000","0.5000"
"comes","3.5295000","3.4411765","0.3824","0.4118"
"comey","2.0000000","1.0000000","0.0000","0.0000"
"comfort","4.3332500","3.8437500","0.5000","0.7500"
"comfortable","3.4332000","3.6500000","0.4000","0.6000"
"comfortably","4.3330000","2.0000000","1.0000","0.0000"
"comfrey","4.8330000","4.5000000","1.0000","1.0000"
"comic","3.3330000","2.0000000","0.0000","0.0000"
"comics","3.4170000","2.8125000","0.5000","0.5000"
"coming","3.8056000","3.7875000","0.4667","0.4667"
"command","5.0000000","5.3750000","1.0000","1.0000"
"commence","4.5000000","3.8750000","1.0000","0.0000"
"commend","4.8330000","4.2500000","1.0000","0.5000"
"comment","4.7917500","4.8437500","0.5000","0.7500"
"commented","3.1665000","2.8125000","0.5000","0.5000"
"comments","2.8520000","3.1388889","0.2222","0.2222"
"commercial","1.1670000","1.3750000","0.0000","0.0000"
"commiefornia's","1.0000000","1.0000000","0.0000","0.0000"
"commission","1.0000000","2.3750000","0.0000","0.0000"
"commissioned","3.5000000","3.0000000","0.0000","0.0000"
"commissioner","5.7500000","5.8750000","1.0000","1.0000"
"commit","3.6665556","4.3055556","0.5556","0.6111"
"commited","5.0000000","4.7500000","1.0000","1.0000"
"commitment","3.0000000","1.5000000","0.5000","0.0000"
"commits","2.3330000","1.0000000","0.0000","0.0000"
"committed","3.6111111","4.5972222","0.5556","0.6667"
"committee","4.3335000","5.3125000","0.5000","1.0000"
"committing","3.6499000","3.7250000","0.6000","0.5000"
"commodity","5.8330000","4.5000000","1.0000","1.0000"
"common","3.2879091","3.3750000","0.3636","0.4545"
"commonly","7.0000000","7.0000000","1.0000","1.0000"
"commonplace","3.5000000","3.9583333","0.6667","0.6667"
"communicate","4.4334000","3.2750000","0.6000","0.4000"
"communicated","5.8330000","7.0000000","1.0000","1.0000"
"communicating","3.8330000","6.6250000","0.0000","1.0000"
"communication","4.2776667","1.4166667","0.6667","0.0000"
"communist","1.0000000","1.8750000","0.0000","0.0000"
"communities","4.6042500","4.2031250","0.6250","0.6250"
"community","3.9833333","3.7333333","0.5333","0.5000"
"community's","5.5000000","3.1250000","1.0000","0.0000"
"commute","3.0000000","3.0625000","0.5000","0.5000"
"commuting","1.0000000","1.0000000","0.0000","0.0000"
"companies","3.2955000","3.5738636","0.3636","0.5000"
"companion","6.0000000","5.1250000","1.0000","1.0000"
"companoes","5.5000000","5.7500000","1.0000","1.0000"
"company","3.5172759","4.1810345","0.4828","0.7241"
"company's","3.0000000","1.3750000","0.0000","0.0000"
"compare","1.0000000","6.0000000","0.0000","1.0000"
"compared","4.0951429","5.1250000","0.5714","1.0000"
"compares","5.0000000","1.6250000","1.0000","0.0000"
"comparing","2.0000000","4.3500000","0.2000","0.6000"
"comparison","4.3330000","3.6250000","1.0000","0.0000"
"comparisons","3.8330000","1.2500000","0.0000","0.0000"
"comparrison","4.6670000","4.1250000","1.0000","1.0000"
"compassion","4.1834000","4.2375000","0.6000","0.7000"
"compassionate","5.3330000","3.0000000","1.0000","0.0000"
"compatable","3.8330000","4.5000000","0.0000","1.0000"
"compatible","1.0000000","1.0000000","0.0000","0.0000"
"compensate","4.0000000","4.1875000","0.5000","1.0000"
"compensated","2.2776667","4.3750000","0.0000","0.6667"
"compensation","5.3330000","4.6250000","1.0000","1.0000"
"compete","3.3330000","2.2500000","0.0000","0.0000"
"competed","2.6670000","5.1250000","0.0000","1.0000"
"competing","5.5000000","5.6250000","1.0000","1.0000"
"competition","1.0000000","1.0000000","0.0000","0.0000"
"complacent","1.6670000","1.6250000","0.0000","0.0000"
"complain","1.7666000","1.9000000","0.0000","0.0000"
"complaining","1.0000000","1.0000000","0.0000","0.0000"
"complaint","1.0000000","1.0000000","0.0000","0.0000"
"complaints","3.3056667","3.5208333","0.3333","0.5000"
"complete","3.3541250","3.0625000","0.3750","0.2500"
"completed","5.3330000","6.1250000","1.0000","1.0000"
"completely","3.7553404","4.5053191","0.4894","0.6596"
"completing","3.3335000","3.3750000","0.5000","0.0000"
"completion","4.8330000","5.5000000","1.0000","1.0000"
"completly","5.6670000","4.0000000","1.0000","1.0000"
"complex","4.4165000","4.5625000","0.7500","0.7500"
"compliant","3.0835000","3.8750000","0.5000","0.5000"
"complicated","3.1388333","3.0208333","0.5000","0.3333"
"complicates","7.0000000","6.5000000","1.0000","1.0000"
"complications","2.9165000","2.6875000","0.5000","0.0000"
"comply","4.0835000","4.4375000","0.5000","0.5000"
"compnay","4.3330000","2.2500000","1.0000","0.0000"
"component","5.3330000","1.0000000","1.0000","0.0000"
"compose","7.0000000","1.0000000","1.0000","0.0000"
"composer","6.0000000","5.8750000","1.0000","1.0000"
"compounded","5.8330000","6.2500000","1.0000","1.0000"
"comprehend","4.3333333","3.0416667","0.6667","0.3333"
"comprehension","3.8330000","6.0625000","0.5000","1.0000"
"comprehensive","1.5835000","1.4375000","0.0000","0.0000"
"comprhend","3.5000000","6.0000000","0.0000","1.0000"
"compromise","2.2223333","2.2916667","0.3333","0.0000"
"compromising","2.6670000","2.7500000","0.0000","0.0000"
"computer","2.2500000","1.6250000","0.0000","0.0000"
"computers","2.6667500","3.9375000","0.5000","0.2500"
"comunale","5.5000000","6.7500000","1.0000","1.0000"
"concede","5.5000000","4.8750000","1.0000","1.0000"
"conceived","3.5000000","1.6250000","0.0000","0.0000"
"conceiving","3.5000000","1.6250000","0.0000","0.0000"
"concentrate","2.0000000","1.0000000","0.0000","0.0000"
"concentrated","4.8330000","5.6250000","1.0000","1.0000"
"concentrating","2.5000000","2.6250000","0.0000","0.0000"
"concentration","1.2776667","4.0833333","0.0000","0.6667"
"concept","1.6667500","4.8125000","0.0000","0.7500"
"concered","4.0830000","4.1250000","0.5000","0.5000"
"concern","2.5641538","2.5096154","0.2308","0.2308"
"concerned","3.7272727","3.6136364","0.4545","0.5000"
"concerning","3.8667000","3.5625000","0.5000","0.5000"
"concerns","3.5167000","4.1000000","0.5000","0.7000"
"concert","5.8750000","4.5625000","0.7500","0.7500"
"concieved","3.5000000","1.6250000","0.0000","0.0000"
"concious","4.0000000","5.1250000","1.0000","1.0000"
"concludes","4.6670000","3.6250000","1.0000","0.0000"
"conclusion","4.0000000","3.4583333","0.6667","0.3333"
"conclusions","2.3335000","4.1250000","0.0000","0.5000"
"concrete","4.8330000","5.3750000","1.0000","1.0000"
"concur","2.6670000","3.6250000","0.0000","0.0000"
"condemn","1.0000000","1.8750000","0.0000","0.0000"
"condemned","2.5002500","4.1250000","0.0000","0.2500"
"condemning","3.0000000","4.7500000","0.5000","1.0000"
"condemns","2.0000000","4.1250000","0.0000","1.0000"
"condition","4.5512308","4.1057692","0.8462","0.5385"
"conditioned","1.0000000","1.0000000","0.0000","0.0000"
"conditions","3.9285429","4.0464286","0.4571","0.5714"
"condo","3.5000000","1.0000000","0.0000","0.0000"
"condolences","3.8890000","2.6666667","0.3333","0.3333"
"condoms","3.6113333","3.5833333","0.6667","0.6667"
"condone","4.0556667","1.7500000","0.6667","0.0000"
"conducive","3.1670000","2.1250000","0.0000","0.0000"
"conduct","2.4165000","3.4375000","0.0000","0.5000"
"conducted","4.6670000","4.7500000","1.0000","1.0000"
"conducting","1.0000000","1.0000000","0.0000","0.0000"
"confederate","4.1667500","4.2812500","0.5000","0.7500"
"confessed","4.3330000","6.0000000","1.0000","1.0000"
"confident","3.0000000","3.3750000","0.0000","0.0000"
"confined","4.5000000","5.5000000","1.0000","1.0000"
"confinement","7.0000000","7.0000000","1.0000","1.0000"
"confirmed","2.0553333","3.8333333","0.0000","0.6667"
"confirms","4.0000000","3.8750000","1.0000","0.0000"
"confiscated","4.5000000","5.5000000","1.0000","1.0000"
"confiscating","4.3330000","4.1250000","1.0000","1.0000"
"conflation","3.0000000","5.2500000","0.0000","1.0000"
"conflict","4.5237857","4.2321429","0.7143","0.5000"
"conflicted","4.6666667","3.9166667","0.6667","0.3333"
"conflicting","4.2666000","4.1500000","0.6000","0.4000"
"conflicts","3.4585000","4.6562500","0.5000","0.5000"
"conform","5.3330000","5.0000000","1.0000","1.0000"
"confrontation","3.1665000","3.0000000","0.5000","0.5000"
"confrontations","3.5000000","5.1250000","0.0000","1.0000"
"confronted","3.9170000","4.6250000","0.5000","1.0000"
"confronting","6.0000000","6.0000000","1.0000","1.0000"
"confused","3.7500000","4.6250000","0.5000","0.5000"
"confuses","1.7500000","5.3125000","0.0000","1.0000"
"confusing","2.8333333","4.2083333","0.3333","0.6667"
"confusion","4.3330000","5.1250000","1.0000","1.0000"
"congratulated","5.3330000","3.5000000","1.0000","0.0000"
"congress","3.3333333","4.3333333","0.3333","0.6667"
"conjure","1.0000000","1.0000000","0.0000","0.0000"
"connect","3.7500000","2.9375000","0.5000","0.5000"
"connected","2.8335000","2.6875000","0.5000","0.0000"
"connecting","4.0000000","3.6250000","1.0000","0.0000"
"connections","6.0000000","6.0000000","1.0000","1.0000"
"conquer","6.0000000","6.0000000","1.0000","1.0000"
"conscientious","5.5000000","6.0000000","1.0000","1.0000"
"conscious","3.7082500","3.7500000","0.5000","0.5000"
"consciously","3.3330000","3.0000000","0.5000","0.5000"
"consciousness","4.5000000","4.6250000","1.0000","1.0000"
"consecutive","5.6670000","5.5000000","1.0000","1.0000"
"consensual","3.9165000","6.0000000","0.5000","1.0000"
"consensus","4.5000000","5.5000000","1.0000","1.0000"
"consequences","4.0200800","4.5300000","0.5200","0.6000"
"consequenes","5.5000000","6.6250000","1.0000","1.0000"
"conservation","4.0336000","4.6250000","0.4000","0.8000"
"conservation-related","1.8330000","1.0000000","0.0000","0.0000"
"conservative","4.0715714","3.3571429","0.5714","0.4286"
"conservatives","1.0000000","1.8750000","0.0000","0.0000"
"conserve","2.0000000","1.0000000","0.0000","0.0000"
"consider","3.6283077","2.6442308","0.5385","0.2308"
"considerably","4.1670000","4.2500000","1.0000","1.0000"
"considerate","4.5000000","5.1250000","1.0000","1.0000"
"consideration","4.3890000","3.3750000","0.6667","0.3333"
"considerations","1.8330000","2.3750000","0.0000","0.0000"
"considered","3.8500000","3.7875000","0.5000","0.4000"
"considering","3.1665714","3.3750000","0.2857","0.4286"
"consist","5.5000000","6.2500000","1.0000","1.0000"
"consistency","2.1670000","1.1250000","0.0000","0.0000"
"consistently","5.0000000","2.2500000","1.0000","0.0000"
"conspicuous","1.1670000","1.2500000","0.0000","0.0000"
"conspiracies","3.6670000","3.8750000","0.0000","0.0000"
"conspiracy","1.6670000","1.2500000","0.0000","0.0000"
"constanstly","4.0000000","3.5000000","1.0000","0.0000"
"constant","3.3334000","3.6875000","0.6000","0.5000"
"constantly","2.6666364","3.5909091","0.2727","0.4545"
"constituents","2.0000000","2.5625000","0.0000","0.0000"
"constitution","1.9443333","1.2916667","0.0000","0.0000"
"constructed","6.0000000","1.5000000","1.0000","0.0000"
"construction","4.8330000","5.8750000","1.0000","1.0000"
"constructive","3.8330000","4.3750000","0.0000","1.0000"
"construed","3.3330000","2.8750000","0.0000","0.0000"
"consulate","3.2223333","2.2500000","0.3333","0.3333"
"consulates","1.0000000","1.3750000","0.0000","0.0000"
"consultants","3.5000000","4.7500000","0.0000","1.0000"
"consume","2.6670000","5.5000000","0.0000","1.0000"
"consumer","5.3330000","1.8750000","1.0000","0.0000"
"consumers","2.9165000","5.2500000","0.5000","1.0000"
"consuming","4.8335000","5.1250000","1.0000","1.0000"
"consumption","2.4170000","2.7500000","0.0000","0.5000"
"contact","3.6850000","3.0972222","0.5556","0.4444"
"contacted","6.0000000","5.8750000","1.0000","1.0000"
"contacts","3.1665000","3.5000000","0.5000","0.5000"
"contain","4.6334000","3.5500000","0.6000","0.4000"
"contained","1.0000000","1.0000000","0.0000","0.0000"
"containers","1.0000000","2.1250000","0.0000","0.0000"
"containing","3.0000000","4.5000000","0.0000","1.0000"
"contaminate","3.1670000","4.1250000","0.0000","1.0000"
"contaminated","2.9170000","3.1250000","0.5000","0.5000"
"contamination","3.1665000","3.4687500","0.5000","0.5000"
"content","2.8335000","2.6875000","0.2500","0.2500"
"context","4.2223333","5.2916667","1.0000","1.0000"
"contingency","4.1670000","5.2500000","1.0000","1.0000"
"continually","3.8750000","3.0937500","0.2500","0.5000"
"continue","3.5952619","4.3095238","0.3810","0.6190"
"continued","4.8333333","2.7916667","0.6667","0.3333"
"continues","4.3499000","4.6000000","0.7000","0.6000"
"continuing","4.2380000","5.2500000","0.2857","0.7143"
"continuous","3.5000000","3.5000000","0.0000","0.0000"
"contraceptive","3.0000000","3.5000000","0.5000","0.5000"
"contraceptives","3.6665000","3.6875000","0.5000","0.5000"
"contract","4.6670000","2.0000000","1.0000","0.0000"
"contracted","2.9165000","1.5625000","0.0000","0.0000"
"contracting","2.1665000","1.8125000","0.0000","0.0000"
"contracts","4.3335000","2.9375000","1.0000","0.0000"
"contradict","3.6670000","3.6250000","0.0000","0.0000"
"contradicted","5.5000000","6.0000000","1.0000","1.0000"
"contradicts","2.1670000","1.1250000","0.0000","0.0000"
"contrast","2.0835000","3.1250000","0.0000","0.5000"
"contribute","4.2225000","3.8541667","0.6667","0.6667"
"contributed","3.4443333","2.5833333","0.6667","0.3333"
"contributes","3.5000000","2.3125000","0.5000","0.0000"
"contributing","2.9165000","1.5625000","0.0000","0.0000"
"contribution","2.6670000","3.9375000","0.0000","0.5000"
"contributions","5.8330000","7.0000000","1.0000","1.0000"
"contributor","1.5835000","5.0625000","0.0000","0.5000"
"control","3.9484182","3.9659091","0.6182","0.5455"
"controlled","3.6041250","4.0781250","0.3750","0.6250"
"controls","3.3886667","2.7500000","0.6667","0.3333"
"controversial","4.5000000","4.1250000","1.0000","1.0000"
"controversy","4.0000000","5.2500000","0.5000","1.0000"
"convenience","2.8330000","1.7500000","0.0000","0.0000"
"convention","2.0000000","7.0000000","0.0000","1.0000"
"conventions","4.3330000","4.6250000","1.0000","1.0000"
"conversation","3.7334000","4.1000000","0.6000","0.6000"
"conversion","4.1252500","4.6250000","0.7500","0.7500"
"convert","5.7780000","5.1250000","1.0000","1.0000"
"convey","4.0000000","5.6250000","1.0000","1.0000"
"conveyed","1.0000000","1.0000000","0.0000","0.0000"
"conveying","7.0000000","7.0000000","1.0000","1.0000"
"conveyor","6.0000000","5.6250000","1.0000","1.0000"
"convict","1.3330000","1.5000000","0.0000","0.0000"
"convicted","4.6332000","5.3750000","0.6000","0.8000"
"conviction","1.0000000","1.0000000","0.0000","0.0000"
"convicts","1.6670000","5.6250000","0.0000","1.0000"
"convince","3.4167500","4.1562500","0.5000","0.5000"
"convinced","1.0000000","1.0000000","0.0000","0.0000"
"convincing","1.0000000","3.0000000","0.0000","0.0000"
"convoluted","3.4165000","5.2500000","0.5000","1.0000"
"convoy","3.6670000","2.8750000","0.0000","0.0000"
"coo","4.8330000","5.5000000","1.0000","1.0000"
"cook","4.0000000","5.6875000","0.5000","1.0000"
"cooked","4.6670000","4.8750000","1.0000","1.0000"
"cool","2.5000000","3.9107143","0.2857","0.5714"
"cooped","4.5000000","6.8750000","1.0000","1.0000"
"cooperate","4.8330000","5.3750000","1.0000","1.0000"
"cooperates","1.0000000","4.8750000","0.0000","1.0000"
"cooperation","3.5000000","2.8750000","0.0000","0.0000"
"cooperative","1.0000000","4.8750000","0.0000","1.0000"
"coordinate","3.8330000","5.0000000","0.0000","1.0000"
"cop","3.3206154","3.8269231","0.3846","0.5385"
"cope","5.8333333","5.3333333","1.0000","0.6667"
"coped","5.3330000","6.2500000","1.0000","1.0000"
"copenhagen","2.8330000","5.3750000","0.0000","1.0000"
"coping","4.6665000","5.0000000","0.5000","1.0000"
"cops","3.0238571","4.0714286","0.3571","0.5714"
"copy","2.0556667","3.5416667","0.0000","0.3333"
"copyright","2.0000000","2.0000000","0.0000","0.0000"
"corals","4.0000000","4.0000000","1.0000","1.0000"
"cords","3.6670000","4.2500000","0.0000","1.0000"
"core","2.9334000","3.2500000","0.4000","0.4000"
"cornea","1.0000000","2.6250000","0.0000","0.0000"
"corner","3.5332000","4.2500000","0.6000","0.8000"
"coroners","5.8330000","5.3750000","1.0000","1.0000"
"corporate","3.2497500","5.0937500","0.5000","0.7500"
"corporations","2.7917500","4.5937500","0.2500","0.7500"
"corps","4.3330000","4.3750000","1.0000","1.0000"
"corpses","4.6670000","6.0000000","1.0000","1.0000"
"correct","4.1060000","3.3977273","0.5455","0.5455"
"corrected","4.3330000","4.8750000","1.0000","1.0000"
"corrections","4.8330000","5.3750000","1.0000","1.0000"
"correctly","5.1670000","2.8750000","1.0000","0.0000"
"corroded","4.6670000","4.8750000","1.0000","1.0000"
"corrupt","3.5195882","4.0000000","0.5294","0.6471"
"corrupted","4.3330000","4.6250000","1.0000","1.0000"
"corruption","3.0453636","4.2045455","0.3636","0.6364"
"corupt","3.5000000","3.6250000","0.0000","0.0000"
"cosmetics","1.0000000","1.0000000","0.0000","0.0000"
"cost","2.5491765","2.9852941","0.1176","0.2353"
"costing","4.8330000","4.8750000","1.0000","1.0000"
"costly","2.5000000","1.5000000","0.0000","0.0000"
"costs","3.3333750","4.7656250","0.3750","0.5000"
"couch","2.0000000","1.0000000","0.0000","0.0000"
"coudl","5.5000000","4.0000000","1.0000","1.0000"
"cought","3.3330000","2.0000000","0.0000","0.0000"
"could","3.5175145","3.7898551","0.4384","0.4855"
"could've","3.2082500","4.5937500","0.2500","0.7500"
"couldn","4.0000000","5.1250000","0.3333","1.0000"
"couldn't","3.3750000","3.7625000","0.4500","0.4500"
"couldnt","3.5000000","6.0000000","0.0000","1.0000"
"council","3.5835000","3.2500000","0.5000","0.5000"
"counseling","5.4996667","4.0000000","1.0000","0.6667"
"counselling","7.0000000","2.3750000","1.0000","0.0000"
"count","4.2291250","3.9531250","0.5000","0.5000"
"counted","2.9165000","2.9375000","0.5000","0.5000"
"counterfeit","1.0000000","1.0000000","0.0000","0.0000"
"counterparts","5.3330000","1.8750000","1.0000","0.0000"
"counting","2.1665000","4.9375000","0.0000","1.0000"
"countless","3.7334000","4.5750000","0.4000","0.8000"
"countries","3.7527753","4.0042135","0.5056","0.5393"
"country","3.5790867","3.8258929","0.4796","0.5153"
"counts","3.3056667","3.8750000","0.3333","0.6667"
"county","3.5555556","4.2222222","0.5556","0.6667"
"coup","6.0000000","6.0000000","1.0000","1.0000"
"couple","2.9167273","2.6420455","0.2727","0.1364"
"couple's","5.4170000","3.2500000","1.0000","0.5000"
"couples","2.3330000","3.2500000","0.0000","0.0000"
"coupling","3.1670000","1.8750000","0.0000","0.0000"
"coupon","2.8330000","3.2500000","0.0000","0.0000"
"courage","2.3335000","2.9375000","0.0000","0.0000"
"courier-mail","6.1670000","5.5000000","1.0000","1.0000"
